ProductCode,ProductName,Category,Subcategory,UnitPrice
"0101001","Update","Audio","MP4&MP3",12.9900
"0101002","Contoso 512MB MP3 Player E51 Blue","Audio","MP4&MP3",12.9900
"0101003","Contoso 1G MP3 Player E100 White","Audio","MP4&MP3",14.5200
"0101004","Contoso 2G MP3 Player E200 Silver","Audio","MP4&MP3",21.5700
"0101005","Contoso 2G MP3 Player E200 Red","Audio","MP4&MP3",21.5700
"0101006","Contoso 2G MP3 Player E200 Black","Audio","MP4&MP3",21.5700
"0101007","Contoso 2G MP3 Player E200 Blue","Audio","MP4&MP3",21.5700
"0101008","Contoso 4G MP3 Player E400 Silver","Audio","MP4&MP3",59.9900
"0101009","Contoso 4G MP3 Player E400 Black","Audio","MP4&MP3",59.9900
"0101010","Contoso 4G MP3 Player E400 Green","Audio","MP4&MP3",59.9900
"0101011","Contoso 4G MP3 Player E400 Orange","Audio","MP4&MP3",59.9900
"0101012","Contoso 4GB Flash MP3 Player E401 Blue","Audio","MP4&MP3",77.6800
"0101013","Contoso 4GB Flash MP3 Player E401 Black","Audio","MP4&MP3",77.6800
"0101014","Contoso 4GB Flash MP3 Player E401 Silver","Audio","MP4&MP3",77.6800
"0101015","Contoso 4GB Flash MP3 Player E401 White","Audio","MP4&MP3",77.6800
"0101016","Contoso 8GB Super-Slim MP3/Video Player M800 White","Audio","MP4&MP3",109.9500
"0101017","Contoso 8GB Super-Slim MP3/Video Player M800 Red","Audio","MP4&MP3",109.9500
"0101018","Contoso 8GB Super-Slim MP3/Video Player M800 Green","Audio","MP4&MP3",109.9500
"0101019","Contoso 8GB Super-Slim MP3/Video Player M800 Pink","Audio","MP4&MP3",109.9500
"0101020","Contoso 8GB MP3 Player new model M820 Black","Audio","MP4&MP3",134.0000
"0101021","Contoso 8GB MP3 Player new model M820 Blue","Audio","MP4&MP3",134.0000
"0101022","Contoso 8GB MP3 Player new model M820 Yellow","Audio","MP4&MP3",134.0000
"0101023","Contoso 8GB MP3 Player new model M820 White","Audio","MP4&MP3",134.0000
"0101024","Contoso 16GB Mp5 Player M1600 Blue","Audio","MP4&MP3",199.9000
"0101025","Contoso 16GB Mp5 Player M1600 Black","Audio","MP4&MP3",199.9000
"0101026","Contoso 16GB Mp5 Player M1600 Green","Audio","MP4&MP3",199.9000
"0101027","Contoso 16GB Mp5 Player M1600 White","Audio","MP4&MP3",199.9000
"0101028","Contoso 16GB Mp5 Player M1600 Red","Audio","MP4&MP3",199.9000
"0101029","Contoso 32GB Video MP3 Player M3200 White","Audio","MP4&MP3",255.0000
"0101030","Contoso 32GB Video MP3 Player M3200 Red","Audio","MP4&MP3",255.0000
"0101031","Contoso 32GB Video MP3 Player M3200 Orange","Audio","MP4&MP3",255.0000
"0101032","Contoso 32GB Video MP3 Player M3200 Pink","Audio","MP4&MP3",255.0000
"0101033","Contoso 32GB Video MP3 Player M3200 Black","Audio","MP4&MP3",255.0000
"0101034","Contoso 4GB Portable MP3 Player M450 Black","Audio","MP4&MP3",95.9500
"0101035","Contoso 4GB Portable MP3 Player M450 White","Audio","MP4&MP3",95.9500
"0101036","Contoso 4GB Portable MP3 Player M450 Yellow","Audio","MP4&MP3",95.9500
"0101037","Contoso 8GB Clock & Radio MP3 Player X850 Silver","Audio","MP4&MP3",299.2300
"0101038","Contoso 8GB Clock & Radio MP3 Player X850 Black","Audio","MP4&MP3",299.2300
"0101039","Contoso 8GB Clock & Radio MP3 Player X850 Green","Audio","MP4&MP3",299.2300
"0101040","Contoso 8GB Clock & Radio MP3 Player X850 Blue","Audio","MP4&MP3",299.2300
"0101041","Contoso 16GB New Generation MP5 Player M1650 Silver","Audio","MP4&MP3",232.0000
"0101042","Contoso 16GB New Generation MP5 Player M1650 White","Audio","MP4&MP3",232.0000
"0101043","Contoso 16GB New Generation MP5 Player M1650 Black","Audio","MP4&MP3",232.0000
"0101044","Contoso 16GB New Generation MP5 Player M1650 blue","Audio","MP4&MP3",232.0000
"0101045","Contoso 16GB New Generation MP5 Player M1650 Pink","Audio","MP4&MP3",232.0000
"0104001","WWI 1GB Pulse Smart pen E50 White","Audio","Recording Pen",149.9500
"0104002","WWI 1GBPulse Smart pen E50 Black","Audio","Recording Pen",149.9500
"0104003","WWI 1GB Pulse Smart pen E50 Silver","Audio","Recording Pen",149.9500
"0104004","WWI 2GB Pulse Smart pen M100 White","Audio","Recording Pen",199.9500
"0104005","WWI 2GB Pulse Smart pen M100 Black","Audio","Recording Pen",199.9500
"0104006","WWI 2GB Pulse Smart pen M100 Blue","Audio","Recording Pen",199.9500
"0104007","WWI 2GB Pulse Smart pen M100 Silver","Audio","Recording Pen",199.9500
"0104008","WWI 4GB Video Recording Pen X200 Black","Audio","Recording Pen",296.0000
"0104009","WWI 4GB Video Recording Pen X200 Red","Audio","Recording Pen",296.0000
"0104010","WWI 4GB Video Recording Pen X200 Pink","Audio","Recording Pen",296.0000
"0104011","WWI 4GB Video Recording Pen X200 Yellow","Audio","Recording Pen",296.0000
"0104012","WWI 1GB Digital Voice Recorder Pen E100 Black","Audio","Recording Pen",156.0000
"0104013","WWI 1GB Digital Voice Recorder Pen E100 Red","Audio","Recording Pen",156.0000
"0104014","WWI 1GB Digital Voice Recorder Pen E100 Pink","Audio","Recording Pen",156.0000
"0104015","WWI 1GB Digital Voice Recorder Pen E100 White","Audio","Recording Pen",156.0000
"0104016","WWI 2GB Spy Video Recorder Pen M300 Black","Audio","Recording Pen",181.0000
"0104017","WWI 2GB Spy Video Recorder Pen M300 White","Audio","Recording Pen",181.0000
"0104018","WWI 2GB Spy Video Recorder Pen M300 Blue","Audio","Recording Pen",181.0000
"0104019","WWI 2GB Spy Video Recorder Pen M300 Silver","Audio","Recording Pen",181.0000
"0104020","WWI 2GB Spy Video Recorder Pen M300 Purple","Audio","Recording Pen",181.0000
"0106001","NT Bluetooth Stereo Headphones E52 Blue","Audio","Bluetooth Headphones",25.6900
"0106002","NT Bluetooth Stereo Headphones E52 Black","Audio","Bluetooth Headphones",25.6900
"0106003","NT Bluetooth Stereo Headphones E52 Yellow","Audio","Bluetooth Headphones",25.6900
"0106004","NT Bluetooth Stereo Headphones E52 Pink","Audio","Bluetooth Headphones",25.6900
"0106005","NT Wireless Bluetooth Stereo Headphones E102 Silver","Audio","Bluetooth Headphones",47.9500
"0106006","NT Wireless Bluetooth Stereo Headphones E102 Black","Audio","Bluetooth Headphones",47.9500
"0106007","NT Wireless Bluetooth Stereo Headphones E102 Blue","Audio","Bluetooth Headphones",47.9500
"0106008","NT Wireless Bluetooth Stereo Headphones E102 White","Audio","Bluetooth Headphones",47.9500
"0106009","NT Bluetooth Active Headphones E202 Black","Audio","Bluetooth Headphones",37.9500
"0106010","NT Bluetooth Active Headphones E202 White","Audio","Bluetooth Headphones",37.9500
"0106011","NT Bluetooth Active Headphones E202 Red","Audio","Bluetooth Headphones",37.9500
"0106012","NT Bluetooth Active Headphones E202 Silver","Audio","Bluetooth Headphones",37.9500
"0106013","NT Wireless Bluetooth Stereo Headphones E302 Silver","Audio","Bluetooth Headphones",40.5500
"0106014","NT Wireless Bluetooth Stereo Headphones E302 White","Audio","Bluetooth Headphones",40.5500
"0106015","NT Wireless Bluetooth Stereo Headphones E302 Yellow","Audio","Bluetooth Headphones",40.5500
"0106016","NT Wireless Bluetooth Stereo Headphones E302 Black","Audio","Bluetooth Headphones",40.5500
"0106017","NT Wireless Bluetooth Stereo Headphones E302 Pink","Audio","Bluetooth Headphones",40.5500
"0106018","NT Wireless Bluetooth Stereo Headphones M402 Silver","Audio","Bluetooth Headphones",99.9900
"0106019","NT Wireless Bluetooth Stereo Headphones M402 Red","Audio","Bluetooth Headphones",99.9900
"0106020","NT Wireless Bluetooth Stereo Headphones M402 Green","Audio","Bluetooth Headphones",99.9900
"0106021","NT Wireless Bluetooth Stereo Headphones M402 Black","Audio","Bluetooth Headphones",99.9900
"0106022","NT Wireless Bluetooth Stereo Headphones M402 Purple","Audio","Bluetooth Headphones",99.9900
"0106023","NT Wireless Transmitter and Bluetooth Headphones M150 Black","Audio","Bluetooth Headphones",149.9900
"0106024","NT Wireless Transmitter and Bluetooth Headphones M150 Blue","Audio","Bluetooth Headphones",149.9900
"0106025","NT Wireless Transmitter and Bluetooth Headphones M150 Silver","Audio","Bluetooth Headphones",149.9900
"0106026","NT Wireless Transmitter and Bluetooth Headphones M150 Green","Audio","Bluetooth Headphones",149.9900
"0106027","NT Wireless Transmitter and Bluetooth Headphones M150 Red","Audio","Bluetooth Headphones",149.9900
"0106028","WWI Stereo Bluetooth Headphones E1000 Blue","Audio","Bluetooth Headphones",67.4000
"0106029","WWI Stereo Bluetooth Headphones E1000 Black","Audio","Bluetooth Headphones",67.4000
"0106030","WWI Stereo Bluetooth Headphones E1000 Silver","Audio","Bluetooth Headphones",67.4000
"0106031","WWI Stereo Bluetooth Headphones E1000 White","Audio","Bluetooth Headphones",67.4000
"0106032","WWI Stereo Bluetooth Headphones E1000 Green","Audio","Bluetooth Headphones",67.4000
"0106033","WWI Wireless Bluetooth Stereo Headphones M170 Silver","Audio","Bluetooth Headphones",120.0000
"0106034","WWI Wireless Bluetooth Stereo Headphones M170 Black","Audio","Bluetooth Headphones",120.0000
"0106035","WWI Wireless Bluetooth Stereo Headphones M170 White","Audio","Bluetooth Headphones",120.0000
"0106036","WWI Wireless Bluetooth Stereo Headphones M170 Pink","Audio","Bluetooth Headphones",120.0000
"0106037","WWI Wireless Bluetooth Stereo Headphones M270 Silver","Audio","Bluetooth Headphones",115.0000
"0106038","WWI Wireless Bluetooth Stereo Headphones M270 Black","Audio","Bluetooth Headphones",115.0000
"0106039","WWI Wireless Bluetooth Stereo Headphones M270 White","Audio","Bluetooth Headphones",115.0000
"0106040","WWI Wireless Bluetooth Stereo Headphones M270 Pink","Audio","Bluetooth Headphones",115.0000
"0106041","WWI Stereo Bluetooth Headphones New Generation M370 Black","Audio","Bluetooth Headphones",132.9900
"0106042","WWI Stereo Bluetooth Headphones New Generation M370 White","Audio","Bluetooth Headphones",132.9900
"0106043","WWI Stereo Bluetooth Headphones New Generation M370 Yellow","Audio","Bluetooth Headphones",132.9900
"0106044","WWI Stereo Bluetooth Headphones New Generation M370 Orange","Audio","Bluetooth Headphones",132.9900
"0106045","WWI Stereo Bluetooth Headphones New Generation M370 Blue","Audio","Bluetooth Headphones",132.9900
"0106046","WWI Wireless Transmitter and Bluetooth Headphones X250 Black","Audio","Bluetooth Headphones",249.9900
